"Index","Scale","Manufacturer","Type","Partno","Prototype","Description","Roadname","Repmark","Number","Options","CarLength","CarWidth","CoupledLength","TruckCenter","Color","PurchPrice","CurrPrice","Condition","PurchDate","ServiceDate","Notes"
1,"HO","Kato",10101,,"SD40-2",,"Wisconsin & Southern","WSOR","4009",6,8.909,1.412,9.409,5.993,14818080,,,,,,
2,"HO","Kato",10101,,"SD40","Ex UP","Wisconsin & Southern","WSOR","4011",6,8.473,1.401,8.973,5.511,16776960,,,,,,
3,"HO","Atlas",10101,,"GP38",,"Wisconsin & Southern","WSOR","3801",6,7.577,1.401,8.077,4.684,14818080,,,,,,
4,"HO","Atlas",10101,,"GP38",,"Wisconsin & Southern","WSOR","3805",518,7.577,1.401,8.077,4.684,14818080,,,,,,
5,"HO","Atlas",10101,,"GP38",,"Wisconsin & Southern","WSOR","3802",2,7.577,1.401,8.077,4.684,14818080,,,,,,
6,"HO","Atlas",10101,,"GP38",,"Wisconsin & Southern","WSOR","3807",6,7.577,1.401,8.077,4.684,14818080,,,,,,
7,"HO","Unknown",10101,,"GP9","GP20","Wisconsin & Southern","WSOR","2001",6,7.164,1.378,7.664,5.373,14818080,,,,,,
8,"HO","P2K",10101,,"GP9",,"Wisconsin & Southern","WSOR","4493",6,7.164,1.378,7.664,5.373,14818080,,,,,,
9,"HO","P2K",10101,,"SW1200",,"Wisconsin & Southern","WSOR","1201",6,5.580,1.378,6.080,4.202,14818080,,,,,,
10,"HO","Unknown",10101,,"GP35","GP30","Wisconsin Central","WC","711",6,7.222,1.378,7.722,4.443,9633792,,,,,,
11,"HO","Unknown",30100,"Tank car","Tank, 60'",,"Undecorated",,,,8.266,1.378,8.766,6.889,8421504,,,,,,
12,"HO","Atlas",10101,"8900","GP40",,"Wisconsin Central","WC","3026",2,7.577,1.378,8.077,5.683,8535808,,,,,,
13,"HO","Kato",10101,,"GP35",,"Wisconsin & Southern","WSOR","3501",6,7.222,1.378,7.722,4.443,13316116,,,,,,
14,"HO","Kato",10101,,"GP35",,"Wisconsin & Southern","WSOR","3501",2,7.222,1.378,7.722,4.443,13316116,,,,,,
15,"HO","Kato",10101,,"GP35",,"Wisconsin & Southern","WSOR","6547",6,7.222,1.378,7.722,4.443,8421504,,,,,,
16,"HO","Kato",10101,,"GP35",,"Wisconsin & Southern","WSOR","6661",2,7.222,1.378,7.722,4.443,,,,,,,
